# XY Routing Baseline: 8 Patterns × 50 Rates (0.01-0.50)
# 8×8 Mesh, XY DOR, 2M sim-cycles
# Columns: traffic, rate, latency_cyc, flits_received

shuffle,0.13,8.4,38708
shuffle,0.14,8.6,41429
shuffle,0.15,9.1,44335
shuffle,0.16,9.5,47276
shuffle,0.17,10.7,50176
shuffle,0.18,11.8,53139
shuffle,0.19,16.6,55927
shuffle,0.20,27.6,57876
shuffle,0.21,46.2,59563
shuffle,0.22,65.8,60404
shuffle,0.23,83.0,60218
shuffle,0.24,88.0,61574
shuffle,0.25,100.1,63164
shuffle,0.26,100.7,63056
shuffle,0.27,118.1,64123
shuffle,0.28,110.1,65678
shuffle,0.29,109.8,65311
shuffle,0.30,113.5,64703
shuffle,0.31,119.6,65704
shuffle,0.32,117.5,66826
shuffle,0.33,125.9,68292
shuffle,0.34,127.5,68689
shuffle,0.35,128.8,69764
shuffle,0.36,128.4,70680
shuffle,0.37,128.9,72146
shuffle,0.38,134.6,73797
shuffle,0.39,124.4,72728
shuffle,0.40,134.5,73398
shuffle,0.41,128.9,74221
shuffle,0.42,133.8,74821
shuffle,0.43,138.4,75711
shuffle,0.44,148.6,76803
shuffle,0.45,138.3,76359
shuffle,0.46,155.3,76289
shuffle,0.47,160.8,76931
shuffle,0.48,166.9,77581
shuffle,0.49,173.5,78558
shuffle,0.50,182.3,78300
transpose,0.01,8.4,2733
transpose,0.02,8.6,5847
transpose,0.03,8.8,8779
transpose,0.04,8.8,11780
transpose,0.05,9.0,14757
transpose,0.06,9.0,17640
transpose,0.07,9.2,20623
transpose,0.08,9.3,23587
transpose,0.09,9.7,26525
transpose,0.10,10.0,29685
transpose,0.11,10.6,32651
transpose,0.12,13.4,35666
transpose,0.13,21.9,38021
transpose,0.14,27.4,39994
transpose,0.15,33.8,42176
transpose,0.16,37.5,44203
transpose,0.17,39.7,45730
transpose,0.18,47.8,47110
transpose,0.19,46.1,48483
transpose,0.20,55.1,49451
transpose,0.21,59.1,50884
transpose,0.22,64.5,51637
transpose,0.23,63.5,53270
transpose,0.24,70.1,54294
transpose,0.25,76.9,54808
transpose,0.26,74.0,55995
transpose,0.27,83.1,56966
transpose,0.28,84.7,57922
transpose,0.29,94.0,58417
transpose,0.30,99.2,59257
transpose,0.31,106.7,59808
transpose,0.32,104.9,60865
transpose,0.33,108.3,61198
transpose,0.34,113.8,61953
transpose,0.35,115.7,62262
transpose,0.36,111.1,63525
transpose,0.37,112.9,63627
transpose,0.38,117.4,64196
transpose,0.39,109.1,65381
transpose,0.40,110.1,65702
transpose,0.41,108.5,66256
transpose,0.42,111.0,66597
transpose,0.43,110.1,67216
transpose,0.44,121.0,68458
transpose,0.45,125.8,68281
transpose,0.46,135.5,68557
transpose,0.47,136.0,69634
transpose,0.48,138.5,70514
transpose,0.49,146.9,70359
transpose,0.50,154.8,70777
neighbor,0.01,4.9,2744
neighbor,0.02,5.1,5853
neighbor,0.03,5.1,8786
neighbor,0.04,5.1,11810
neighbor,0.05,5.0,14790
neighbor,0.06,5.0,17673
neighbor,0.07,5.1,20683
neighbor,0.08,5.1,23642
neighbor,0.09,5.0,26609
neighbor,0.10,5.1,29743
neighbor,0.11,5.1,32788
neighbor,0.12,5.1,35832
neighbor,0.13,5.1,38757
neighbor,0.14,5.1,41497
neighbor,0.15,5.2,44380
neighbor,0.16,5.2,47342
neighbor,0.17,5.1,50306
neighbor,0.18,5.1,53389
neighbor,0.19,5.2,56365
neighbor,0.20,5.2,59320
neighbor,0.21,5.2,62419
neighbor,0.22,5.2,65391
neighbor,0.23,5.2,68177
neighbor,0.24,5.2,71467
neighbor,0.25,5.2,74578
neighbor,0.26,5.2,77615
neighbor,0.27,5.2,80509
neighbor,0.28,5.2,83410
neighbor,0.29,5.3,86480
neighbor,0.30,5.3,89258
neighbor,0.31,5.3,91982
neighbor,0.32,5.3,94775
neighbor,0.33,5.3,97548
neighbor,0.34,5.3,100531
neighbor,0.35,5.3,103490
neighbor,0.36,5.4,106326
neighbor,0.37,5.4,109117
neighbor,0.38,5.4,112355
neighbor,0.39,5.4,115222
neighbor,0.40,5.4,118195
neighbor,0.41,5.4,120961
neighbor,0.42,5.5,123684
neighbor,0.43,5.5,126995
neighbor,0.44,5.5,130177
neighbor,0.45,5.5,132874
neighbor,0.46,5.6,135641
neighbor,0.47,5.6,138530
neighbor,0.48,5.6,141416
neighbor,0.49,5.6,144325
neighbor,0.50,5.7,147168
